Sr. No.,Symbol,Company Name,"Market capitalization as on March 28, 2024
(In lakhs)"
1,RELIANCE,Reliance Industries Limited,"20,10,56,022.45"
2,TCS,Tata Consultancy Services Limited,"14,02,47,926.46"
3,HDFCBANK,HDFC Bank Limited,"10,99,91,524.33"
4,ICICIBANK,ICICI Bank Limited,"7,67,65,684.66"
5,BHARTIARTL,Bharti Airtel Limited,"6,94,78,399.83"
6,SBIN,State Bank of India,"6,71,44,317.89"
7,INFY,Infosys Limited,"6,21,79,773.92"
8,LICI,Life Insurance Corporation Of India,"5,79,46,466.44"
9,ITC,ITC Limited,"5,34,64,377.65"
10,HINDUNILVR,Hindustan Unilever Limited,"5,32,02,969.74"
11,LT,Larsen & Toubro Limited,"5,17,39,685.70"
12,BAJFINANCE,Bajaj Finance Limited,"4,48,47,830.87"
13,HCLTECH,HCL Technologies Limited,"4,18,86,777.59"
14,MARUTI,Maruti Suzuki India Limited,"3,96,15,824.73"
15,SUNPHARMA,Sun Pharmaceutical Industries Limited,"3,88,82,422.86"
16,ADANIENT,Adani Enterprises Limited,"3,64,46,975.84"
17,KOTAKBANK,Kotak Mahindra Bank Limited,"3,54,93,864.40"
18,TITAN,Titan Company Limited,"3,37,51,854.23"
19,ONGC,Oil & Natural Gas Corporation Limited,"3,37,21,438.41"
20,TATAMOTORS,Tata Motors Limited,"3,29,93,242.21"
21,NTPC,NTPC Limited,"3,25,61,404.88"
22,AXISBANK,Axis Bank Limited,"3,23,16,521.81"
23,DMART,Avenue Supermarts Limited,"2,94,49,575.73"
24,ADANIGREEN,Adani Green Energy Limited,"2,90,69,372.02"
25,ADANIPORTS,Adani Ports and Special Economic Zone Limited,"2,89,85,824.43"
26,ULTRACEMCO,UltraTech Cement Limited,"2,81,44,844.92"
27,ASIANPAINT,Asian Paints Limited,"2,73,05,963.09"
28,COALINDIA,Coal India Limited,"2,67,52,403.67"
29,BAJAJFINSV,Bajaj Finserv Limited,"2,62,27,442.85"
30,BAJAJ-AUTO,Bajaj Auto Limited,"2,59,05,708.85"
31,POWERGRID,Power Grid Corporation of India Limited,"2,57,53,371.97"
32,NESTLEIND,Nestle India Limited,"2,52,83,575.29"
33,WIPRO,Wipro Limited,"2,50,85,189.78"
34,M&M,Mahindra & Mahindra Limited,"2,38,92,541.19"
35,IOC,Indian Oil Corporation Limited,"2,36,88,377.39"
36,JIOFIN,Jio Financial Services Limited,"2,24,74,742.82"
37,HAL,Hindustan Aeronautics Limited,"2,22,50,144.25"
38,DLF,DLF Limited,"2,22,03,575.87"
39,ADANIPOWER,Adani Power Limited,"2,05,88,340.07"
40,JSWSTEEL,JSW Steel Limited,"2,03,02,158.83"
41,TATASTEEL,Tata Steel Limited,"1,94,55,577.10"
42,SIEMENS,Siemens Limited,"1,91,38,080.56"
43,IRFC,Indian Railway Finance Corporation Limited,"1,86,03,018.29"
44,VBL,Varun Beverages Limited,"1,81,73,275.02"
45,ZOMATO,Zomato Limited,"1,60,60,826.20"
46,PIDILITIND,Pidilite Industries Limited,"1,53,33,045.77"
47,GRASIM,Grasim Industries Limited,"1,50,61,395.34"
48,SBILIFE,SBI Life Insurance Company Limited,"1,50,23,154.75"
49,BEL,Bharat Electronics Limited,"1,47,29,204.34"
50,LTIM,LTIMindtree Limited,"1,46,25,731.81"
51,TRENT,Trent Limited,"1,40,34,644.96"
52,PNB,Punjab National Bank,"1,36,97,703.35"
53,INDIGO,InterGlobe Aviation Limited,"1,36,97,032.75"
54,BANKBARODA,Bank of Baroda,"1,36,54,981.83"
55,HDFCLIFE,HDFC Life Insurance Company Limited,"1,36,22,484.91"
56,ABB,ABB India Limited,"1,34,79,173.87"
57,BPCL,Bharat Petroleum Corporation Limited,"1,30,67,578.53"
58,PFC,Power Finance Corporation Limited,"1,28,78,647.12"
59,GODREJCP,Godrej Consumer Products Limited,"1,28,03,664.88"
60,TATAPOWER,Tata Power Company Limited,"1,25,96,028.49"
61,HINDALCO,Hindalco Industries Limited,"1,25,90,030.57"
62,HINDZINC,Hindustan Zinc Limited,"1,23,50,607.44"
63,TECHM,Tech Mahindra Limited,"1,21,88,534.15"
64,AMBUJACEM,Ambuja Cements Limited,"1,21,59,098.56"
65,INDUSINDBK,IndusInd Bank Limited,"1,20,86,763.08"
66,CIPLA,Cipla Limited,"1,20,85,856.42"
67,GAIL,GAIL (India) Limited,"1,19,04,217.91"
68,RECLTD,REC Limited,"1,18,75,840.24"
69,BRITANNIA,Britannia Industries Limited,"1,18,29,644.19"
70,UNIONBANK,Union Bank of India,"1,17,17,584.61"
71,ADANIENSOL,Adani Energy Solutions Limited,"1,14,52,763.38"
72,IOB,Indian Overseas Bank,"1,13,31,996.15"
73,LODHA,Macrotech Developers Limited,"1,12,95,121.67"
74,EICHERMOT,Eicher Motors Limited,"1,10,05,069.69"
75,CANBK,Canara Bank,"1,05,41,003.83"
76,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,"1,04,44,975.25"
77,DRREDDY,Dr. Reddy's Laboratories Limited,"1,02,72,502.00"
78,TVSMOTOR,TVS Motor Company Limited,"1,02,23,162.06"
79,ZYDUSLIFE,Zydus Lifesciences Limited,"1,01,96,438.39"
80,ATGL,Adani Total Gas Limited,"1,01,90,290.32"
81,VEDL,Vedanta Limited,"1,00,97,790.75"
82,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,"97,14,079.69"
83,HAVELLS,Havells India Limited,"94,94,247.90"
84,HEROMOTOCO,Hero MotoCorp Limited,"94,40,904.38"
85,DABUR,Dabur India Limited,"92,70,422.88"
86,SHREECEM,SHREE CEMENT LIMITED,"92,66,564.39"
87,MANKIND,Mankind Pharma Limited,"92,16,538.53"
88,BAJAJHLDNG,Bajaj Holdings & Investment Limited,"92,07,033.85"
89,DIVISLAB,Divi's Laboratories Limited,"91,46,188.99"
90,APOLLOHOSP,Apollo Hospitals Enterprise Limited,"91,40,103.08"
91,NHPC,NHPC Limited,"90,10,396.22"
92,SHRIRAMFIN,Shriram Finance Limited,"88,67,958.73"
93,BOSCHLTD,Bosch Limited,"88,57,323.51"
94,TORNTPHARM,Torrent Pharmaceuticals Limited,"88,01,612.11"
95,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,"87,67,317.92"
96,IDBI,IDBI Bank Limited,"87,09,445.76"
97,JSWENERGY,JSW Energy Limited,"86,98,689.61"
98,JINDALSTEL,Jindal Steel & Power Limited,"86,62,078.08"
99,BHEL,Bharat Heavy Electricals Limited,"86,11,142.68"
100,INDHOTEL,The Indian Hotels Company Limited,"84,14,619.61"
101,CUMMINSIND,Cummins India Limited,"83,33,325.00"
102,ICICIGI,ICICI Lombard General Insurance Company Limited,"82,98,324.54"
103,CGPOWER,CG Power and Industrial Solutions Limited,"82,61,345.35"
104,MCDOWELL-N,United Spirits Limited,"82,49,977.05"
105,HDFCAMC,HDFC Asset Management Company Limited,"80,14,402.84"
106,MAXHEALTH,Max Healthcare Institute Limited,"79,68,709.83"
107,SOLARINDS,Solar Industries India Limited,"79,46,610.40"
108,MOTHERSON,Samvardhana Motherson International Limited,"79,35,189.42"
109,INDUSTOWER,Indus Towers Limited,"78,46,308.93"
110,POLYCAB,Polycab India Limited,"76,08,988.43"
111,OFSS,Oracle Financial Services Software Limited,"76,03,997.17"
112,SRF,SRF Limited,"75,89,216.58"
113,IRCTC,Indian Railway Catering And Tourism Corporation Limited,"74,37,600.00"
114,COLPAL,Colgate Palmolive (India) Limited,"73,71,762.63"
115,LUPIN,Lupin Limited,"73,66,575.19"
116,NAUKRI,Info Edge (India) Limited,"72,35,159.99"
117,TIINDIA,Tube Investments of India Limited,"72,26,559.59"
118,INDIANB,Indian Bank,"70,13,641.45"
119,HINDPETRO,Hindustan Petroleum Corporation Limited,"67,47,325.20"
120,BERGEPAINT,Berger Paints (I) Limited,"66,80,443.40"
121,YESBANK,Yes Bank Limited,"66,73,733.76"
122,TORNTPOWER,Torrent Power Limited,"65,26,535.62"
123,OIL,Oil India Limited,"65,09,142.18"
124,SBICARD,SBI Cards and Payment Services Limited,"64,90,372.86"
125,IDEA,Vodafone Idea Limited,"64,50,076.20"
126,MARICO,Marico Limited,"64,34,161.72"
127,GODREJPROP,Godrej Properties Limited,"63,95,231.94"
128,AUROPHARMA,Aurobindo Pharma Limited,"63,79,406.61"
129,UCOBANK,UCO Bank,"62,41,010.17"
130,BANKINDIA,Bank of India,"62,39,431.31"
131,PERSISTENT,Persistent Systems Limited,"61,38,199.28"
132,MUTHOOTFIN,Muthoot Finance Limited,"59,43,399.41"
133,NMDC,NMDC Limited,"59,12,497.30"
134,ALKEM,Alkem Laboratories Limited,"59,08,902.30"
135,PIIND,PI Industries Limited,"58,67,774.07"
136,LTTS,L&T Technology Services Limited,"57,97,937.57"
137,GICRE,General Insurance Corporation of India,"57,85,134.00"
138,TATACOMM,Tata Communications Limited,"57,29,640.00"
139,JSL,Jindal Stainless Limited,"57,18,341.50"
140,MRF,MRF Limited,"56,57,148.26"
141,SAIL,Steel Authority of India Limited,"55,45,230.20"
142,PGHH,Procter & Gamble Hygiene and Health Care Limited,"54,95,099.46"
143,SUZLON,Suzlon Energy Limited,"54,95,023.13"
144,LINDEINDIA,Linde India Limited,"54,65,737.93"
145,SUPREMEIND,Supreme Industries Limited,"53,76,031.19"
146,CONCOR,Container Corporation of India Limited,"53,74,585.44"
147,OBEROIRLTY,Oberoi Realty Limited,"53,66,223.61"
148,ASTRAL,Astral Limited,"53,49,035.32"
149,IDFCFIRSTB,IDFC First Bank Limited,"53,30,722.59"
150,RVNL,Rail Vikas Nigam Limited,"52,73,015.83"
151,BHARATFORG,Bharat Forge Limited,"52,59,289.19"
152,CENTRALBK,Central Bank of India,"51,91,201.78"
153,JSWINFRA,JSW Infrastructure Limited,"51,52,353.84"
154,POLICYBZR,PB Fintech Limited,"50,72,654.94"
155,ASHOKLEY,Ashok Leyland Limited,"50,28,460.46"
156,THERMAX,Thermax Limited,"49,95,449.14"
157,PHOENIXLTD,The Phoenix Mills Limited,"49,72,549.76"
158,GMRINFRA,GMR Airports Infrastructure Limited,"49,25,331.34"
159,TATAELXSI,Tata Elxsi Limited,"48,48,314.27"
160,PATANJALI,Patanjali Foods Limited,"48,44,939.11"
161,SJVN,SJVN Limited,"47,70,771.34"
162,PRESTIGE,Prestige Estates Projects Limited,"46,90,081.35"
163,ACC,ACC Limited,"46,79,095.23"
164,NYKAA,FSN E-Commerce Ventures Limited,"46,23,971.11"
165,SUNDARMFIN,Sundaram Finance Limited,"45,98,255.45"
166,UBL,United Breweries Limited,"45,89,941.18"
167,ABCAPITAL,Aditya Birla Capital Limited,"45,60,332.91"
168,MPHASIS,MphasiS Limited,"45,11,861.86"
169,BALKRISIND,Balkrishna Industries Limited,"44,79,835.90"
170,DIXON,Dixon Technologies (India) Limited,"44,74,206.64"
171,MAHABANK,Bank of Maharashtra,"44,15,236.46"
172,KALYANKJIL,Kalyan Jewellers India Limited,"44,06,566.98"
173,SCHAEFFLER,Schaeffler India Limited,"43,94,243.23"
174,AWL,Adani Wilmar Limited,"41,77,167.04"
175,APLAPOLLO,APL Apollo Tubes Limited,"41,51,628.72"
176,TATATECH,Tata Technologies Limited,"41,40,253.02"
177,SONACOMS,Sona BLW Precision Forgings Limited,"41,39,985.96"
178,KPITTECH,KPIT Technologies Limited,"40,74,873.56"
179,FACT,Fertilizers and Chemicals Travancore Limited,"40,63,288.46"
180,PSB,Punjab & Sind Bank,"40,49,727.40"
181,PETRONET,Petronet LNG Limited,"39,48,000.23"
182,L&TFH,L&T Finance Holdings Limited,"39,38,748.04"
183,UNOMINDA,UNO Minda Limited,"39,31,359.59"
184,PAGEIND,Page Industries Limited,"38,42,615.55"
185,MRPL,Mangalore Refinery and Petrochemicals Limited,"38,30,304.63"
186,AUBANK,AU Small Finance Bank Limited,"37,80,652.30"
187,MAZDOCK,Mazagon Dock Shipbuilders Limited,"37,59,703.29"
188,HUDCO,Housing & Urban Development Corporation Limited,"37,48,557.75"
189,GUJGASLTD,Gujarat Gas Limited,"37,46,563.26"
190,NIACL,The New India Assurance Company Limited,"37,42,608.00"
191,CRISIL,CRISIL Limited,"37,05,605.95"
192,AIAENG,AIA Engineering Limited,"36,92,878.29"
193,FEDERALBNK,The Federal Bank  Limited,"36,58,946.70"
194,IREDA,Indian Renewable Energy Development Agency Limited,"36,52,672.24"
195,VOLTAS,Voltas Limited,"36,51,478.55"
196,DALBHARAT,Dalmia Bharat Limited,"36,42,456.28"
197,POONAWALLA,Poonawalla Fincorp Limited,"36,04,840.75"
198,MEDANTA,Global Health Limited,"35,46,856.82"
199,IRB,IRB Infrastructure Developers Limited,"35,35,834.50"
200,3MINDIA,3M India Limited,"35,13,952.71"
201,MFSL,Max Financial Services Limited,"34,58,740.23"
202,M&MFIN,Mahindra & Mahindra Financial Services Limited,"34,44,657.42"
203,UPL,UPL Limited,"34,22,770.84"
204,HONAUT,Honeywell Automation India Limited,"34,20,542.11"
205,BSE,BSE Limited,"34,05,933.82"
206,FLUOROCHEM,Gujarat Fluorochemicals Limited,"34,02,438.98"
207,COFORGE,Coforge Limited,"34,01,423.16"
208,LICHSGFIN,LIC Housing Finance Limited,"33,60,609.90"
209,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,"32,97,657.86"
210,DELHIVERY,Delhivery Limited,"32,82,746.70"
211,BDL,Bharat Dynamics Limited,"32,10,904.22"
212,STARHEALTH,Star Health and Allied Insurance Company Limited,"31,80,722.53"
213,FORTIS,Fortis Healthcare Limited,"31,72,334.14"
214,BIOCON,Biocon Limited,"31,71,384.90"
215,COROMANDEL,Coromandel International Limited,"31,65,409.14"
216,NLCINDIA,NLC India Limited,"31,62,918.11"
217,TATAINVEST,Tata Investment Corporation Limited,"31,59,144.98"
218,JKCEMENT,JK Cement Limited,"31,49,569.81"
219,IPCALAB,IPCA Laboratories Limited,"31,39,335.99"
220,METROBRAND,Metro Brands Limited,"31,37,623.56"
221,KEI,KEI Industries Limited,"31,22,173.27"
222,ESCORTS,Escorts Kubota Limited,"30,68,868.20"
223,LLOYDSME,Lloyds Metals And Energy Limited,"30,41,626.28"
224,GLAND,Gland Pharma Limited,"30,39,276.64"
225,IGL,Indraprastha Gas Limited,"30,15,603.45"
226,NAM-INDIA,Nippon Life India Asset Management Limited,"29,68,239.02"
227,APOLLOTYRE,Apollo Tyres Limited,"29,62,428.36"
228,JUBLFOOD,Jubilant Foodworks Limited,"29,61,715.18"
229,POWERINDIA,Hitachi Energy India Limited,"29,54,723.24"
230,MSUMI,Motherson Sumi Wiring India Limited,"29,22,352.34"
231,BANDHANBNK,Bandhan Bank Limited,"28,99,652.69"
232,DEEPAKNTR,Deepak Nitrite Limited,"28,99,034.09"
233,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,"28,79,459.44"
234,AJANTPHARM,Ajanta Pharma Limited,"28,58,280.02"
235,KPRMILL,K.P.R. Mill Limited,"28,45,430.64"
236,SYNGENE,Syngene International Limited,"28,24,356.38"
237,EIHOTEL,EIH Limited,"28,11,012.00"
238,APARINDS,Apar Industries Limited,"28,03,306.54"
239,NATIONALUM,National Aluminium Company Limited,"28,01,781.79"
